"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.08.2023","2.662,4","2.612,0","2.674,4","2.582,0","964,27K","2,31%"
"18.08.2023","2.602,2","2.581,6","2.609,0","2.537,8","819,58K","0,80%"
"17.08.2023","2.581,6","2.597,6","2.623,0","2.528,0","1,11M","0,43%"
"16.08.2023","2.570,6","2.630,0","2.645,0","2.450,2","1,59M","-1,73%"
"15.08.2023","2.615,8","2.599,2","2.695,6","2.540,0","1,11M","0,22%"
"14.08.2023","2.610,0","2.712,4","2.732,0","2.605,0","1,38M","-3,48%"
"11.08.2023","2.704,2","2.718,6","2.729,0","2.685,2","628,95K","-0,51%"
"10.08.2023","2.718,0","2.730,0","2.765,0","2.661,8","2,10M","-0,19%"
"09.08.2023","2.723,2","2.732,2","2.748,0","2.694,4","666,38K","-0,20%"
"08.08.2023","2.728,6","2.700,0","2.730,0","2.627,2","1,05M","0,72%"
"07.08.2023","2.709,0","2.750,0","2.795,6","2.662,4","1,19M","-0,81%"
"04.08.2023","2.731,0","2.785,4","2.872,0","2.657,4","3,36M","-1,76%"
"03.08.2023","2.780,0","2.709,4","2.785,0","2.695,0","1,25M","2,61%"
"02.08.2023","2.709,4","2.670,0","2.727,0","2.666,2","1,65M","1,48%"
"01.08.2023","2.670,0","2.635,0","2.717,2","2.612,8","1,68M","1,33%"
"31.07.2023","2.635,0","2.641,8","2.652,8","2.605,0","1,02M","-0,04%"
"28.07.2023","2.636,0","2.630,0","2.642,0","2.613,0","771,51K","0,23%"
"27.07.2023","2.630,0","2.665,6","2.685,0","2.616,0","1,78M","-0,95%"
"26.07.2023","2.655,2","2.642,4","2.666,4","2.611,6","1,11M","0,48%"
"25.07.2023","2.642,6","2.640,0","2.662,0","2.611,2","1,33M","0,48%"
"24.07.2023","2.630,0","2.542,8","2.633,8","2.537,0","1,38M","3,87%"
"21.07.2023","2.532,0","2.492,4","2.537,6","2.492,4","672,09K","1,60%"
"20.07.2023","2.492,2","2.571,6","2.578,6","2.481,0","1,18M","-3,09%"
"19.07.2023","2.571,6","2.590,0","2.609,0","2.550,8","951,27K","-0,71%"
"18.07.2023","2.590,0","2.538,4","2.600,0","2.536,0","1,11M","2,03%"
"17.07.2023","2.538,4","2.515,0","2.580,6","2.491,0","1,40M","-0,65%"
"14.07.2023","2.555,0","2.464,6","2.557,6","2.450,0","1,75M","3,67%"
"13.07.2023","2.464,6","2.457,0","2.479,0","2.425,6","673,64K","0,80%"
"12.07.2023","2.445,0","2.471,0","2.477,6","2.420,4","643,43K","-0,69%"
"11.07.2023","2.462,0","2.409,0","2.463,2","2.404,2","777,46K","2,26%"
"10.07.2023","2.407,6","2.371,0","2.408,0","2.355,0","763,29K","1,78%"
"07.07.2023","2.365,6","2.390,0","2.390,0","2.337,0","713,31K","-1,03%"
"06.07.2023","2.390,2","2.406,0","2.427,8","2.370,0","493,09K","-0,56%"
"05.07.2023","2.403,6","2.382,0","2.421,0","2.370,0","479,32K","1,59%"
"04.07.2023","2.366,0","2.407,2","2.416,0","2.296,0","788,58K","-1,53%"
"03.07.2023","2.402,8","2.456,4","2.457,0","2.381,0","683,15K","-1,51%"
"30.06.2023","2.439,6","2.473,0","2.487,4","2.420,6","395,91K","-1,17%"
"29.06.2023","2.468,6","2.479,0","2.497,0","2.458,2","498,11K","0,27%"
"28.06.2023","2.462,0","2.438,4","2.472,0","2.420,2","879,77K","1,26%"
